dataset,unit,option
gnu,arch,--help
gnu,arch,--version
gnu,awk,--assign
gnu,awk,-b
gnu,awk,--bignum
gnu,awk,-c
gnu,awk,-C
gnu,awk,--characters-as-bytes
gnu,awk,--copyright
gnu,awk,--csv
gnu,awk,-d
gnu,awk,-D
gnu,awk,--debug
gnu,awk,--dump-variables
gnu,awk,-e
gnu,awk,-E
gnu,awk,--exec
gnu,awk,-f
gnu,awk,-F
gnu,awk,--field-separator
gnu,awk,--file
gnu,awk,-g
gnu,awk,--gen-pot
gnu,awk,-h
gnu,awk,--help
gnu,awk,-i
gnu,awk,-I
gnu,awk,--include
gnu,awk,-k
gnu,awk,-l
gnu,awk,-L
gnu,awk,--lint
gnu,awk,--lint-old
gnu,awk,--load
gnu,awk,-M
gnu,awk,-n
gnu,awk,-N
gnu,awk,--non-decimal-data
gnu,awk,--no-optimize
gnu,awk,-o
gnu,awk,-O
gnu,awk,--optimize
gnu,awk,-p
gnu,awk,-P
gnu,awk,--posix
gnu,awk,--pretty-print
gnu,awk,--profile
gnu,awk,-r
gnu,awk,--re-interval
gnu,awk,-s
gnu,awk,-S
gnu,awk,--sandbox
gnu,awk,--source
gnu,awk,-t
gnu,awk,--trace
gnu,awk,--traditional
gnu,awk,--use-lc-numeric
gnu,awk,-v
gnu,awk,-V
gnu,awk,--version
gnu,b2sum,-b
gnu,b2sum,--binary
gnu,b2sum,-c
gnu,b2sum,--check
gnu,b2sum,--help
gnu,b2sum,--ignore-missing
gnu,b2sum,-l
gnu,b2sum,--length
gnu,b2sum,--quiet
gnu,b2sum,--status
gnu,b2sum,--strict
gnu,b2sum,-t
gnu,b2sum,--tag
gnu,b2sum,--text
gnu,b2sum,--version
gnu,b2sum,-w
gnu,b2sum,--warn
gnu,b2sum,-z
gnu,b2sum,--zero
gnu,base32,-d
gnu,base32,--decode
gnu,base32,--help
gnu,base32,-i
gnu,base32,--ignore-garbage
gnu,base32,--version
gnu,base32,-w
gnu,base32,--wrap
gnu,base64,-d
gnu,base64,--decode
gnu,base64,--help
gnu,base64,-i
gnu,base64,--ignore-garbage
gnu,base64,--version
gnu,base64,-w
gnu,base64,--wrap
gnu,basename,-a
gnu,basename,--help
gnu,basename,--multiple
gnu,basename,-s
gnu,basename,--suffix
gnu,basename,--version
gnu,basename,-z
gnu,basename,--zero
gnu,basenc,--base16
gnu,basenc,--base2lsbf
gnu,basenc,--base2msbf
gnu,basenc,--base32
gnu,basenc,--base32hex
gnu,basenc,--base58
gnu,basenc,--base64
gnu,basenc,--base64url
gnu,basenc,-d
gnu,basenc,--decode
gnu,basenc,--help
gnu,basenc,-i
gnu,basenc,--ignore-garbage
gnu,basenc,--version
gnu,basenc,-w
gnu,basenc,--wrap
gnu,basenc,--z85
gnu,cat,-A
gnu,cat,-b
gnu,cat,-e
gnu,cat,-E
gnu,cat,--help
gnu,cat,-n
gnu,cat,--number
gnu,cat,--number-nonblank
gnu,cat,-s
gnu,cat,--show-all
gnu,cat,--show-ends
gnu,cat,--show-nonprinting
gnu,cat,--show-tabs
gnu,cat,--squeeze-blank
gnu,cat,-t
gnu,cat,-T
gnu,cat,-u
gnu,cat,-v
gnu,cat,--version
gnu,chcon,--dereference
gnu,chcon,-h
gnu,chcon,-H
gnu,chcon,--help
gnu,chcon,-l
gnu,chcon,-L
gnu,chcon,--no-dereference
gnu,chcon,--no-preserve-root
gnu,chcon,-P
gnu,chcon,--preserve-root
gnu,chcon,-r
gnu,chcon,-R
gnu,chcon,--range
gnu,chcon,--recursive
gnu,chcon,--reference
gnu,chcon,--role
gnu,chcon,-t
gnu,chcon,--type
gnu,chcon,-u
gnu,chcon,--user
gnu,chcon,-v
gnu,chcon,--verbose
gnu,chcon,--version
gnu,chgrp,-c
gnu,chgrp,--changes
gnu,chgrp,--dereference
gnu,chgrp,-f
gnu,chgrp,--from
gnu,chgrp,-h
gnu,chgrp,-H
gnu,chgrp,--help
gnu,chgrp,-L
gnu,chgrp,--no-dereference
gnu,chgrp,--no-preserve-root
gnu,chgrp,-P
gnu,chgrp,--preserve-root
gnu,chgrp,--quiet
gnu,chgrp,-R
gnu,chgrp,--recursive
gnu,chgrp,--reference
gnu,chgrp,--silent
gnu,chgrp,-v
gnu,chgrp,--verbose
gnu,chgrp,--version
gnu,chmod,-c
gnu,chmod,--changes
gnu,chmod,--dereference
gnu,chmod,-f
gnu,chmod,-h
gnu,chmod,-H
gnu,chmod,--help
gnu,chmod,-L
gnu,chmod,--no-dereference
gnu,chmod,--no-preserve-root
gnu,chmod,-P
gnu,chmod,--preserve-root
gnu,chmod,--quiet
gnu,chmod,-R
gnu,chmod,--recursive
gnu,chmod,--reference
gnu,chmod,--silent
gnu,chmod,-v
gnu,chmod,--verbose
gnu,chmod,--version
gnu,chown,-c
gnu,chown,--changes
gnu,chown,--dereference
gnu,chown,-f
gnu,chown,--from
gnu,chown,-h
gnu,chown,-H
gnu,chown,--help
gnu,chown,-L
gnu,chown,--no-dereference
gnu,chown,--no-preserve-root
gnu,chown,-P
gnu,chown,--preserve-root
gnu,chown,--quiet
gnu,chown,-R
gnu,chown,--recursive
gnu,chown,--reference
gnu,chown,--silent
gnu,chown,-v
gnu,chown,--verbose
gnu,chown,--version
gnu,chroot,--groups
gnu,chroot,--help
gnu,chroot,-i
gnu,chroot,--skip-chdir
gnu,chroot,--userspec
gnu,chroot,--version
gnu,cksum,-a
gnu,cksum,--algorithm
gnu,cksum,--base64
gnu,cksum,-c
gnu,cksum,--check
gnu,cksum,--debug
gnu,cksum,--help
gnu,cksum,--ignore-missing
gnu,cksum,-l
gnu,cksum,--length
gnu,cksum,--quiet
gnu,cksum,-r
gnu,cksum,--raw
gnu,cksum,-s
gnu,cksum,--status
gnu,cksum,--strict
gnu,cksum,--tag
gnu,cksum,--untagged
gnu,cksum,--version
gnu,cksum,-w
gnu,cksum,--warn
gnu,cksum,-z
gnu,cksum,--zero
gnu,cmp,-b
gnu,cmp,--bytes
gnu,cmp,--help
gnu,cmp,-i
gnu,cmp,--ignore-initial
gnu,cmp,-l
gnu,cmp,-n
gnu,cmp,--print-bytes
gnu,cmp,--quiet
gnu,cmp,-s
gnu,cmp,--silent
gnu,cmp,-v
gnu,cmp,--verbose
gnu,cmp,--version
gnu,comm,-1
gnu,comm,-2
gnu,comm,-3
gnu,comm,--check-order
gnu,comm,--help
gnu,comm,--nocheck-order
gnu,comm,--output-delimiter
gnu,comm,--total
gnu,comm,--version
gnu,comm,-z
gnu,comm,--zero-terminated
gnu,cp,-a
gnu,cp,--archive
gnu,cp,--attributes-only
gnu,cp,-b
gnu,cp,--backup
gnu,cp,--context
gnu,cp,--copy-contents
gnu,cp,-d
gnu,cp,--debug
gnu,cp,--dereference
gnu,cp,-f
gnu,cp,--force
gnu,cp,-H
gnu,cp,--help
gnu,cp,-i
gnu,cp,--interactive
gnu,cp,--keep-directory-symlink
gnu,cp,-l
gnu,cp,-L
gnu,cp,--link
gnu,cp,-n
gnu,cp,--no-clobber
gnu,cp,--no-dereference
gnu,cp,--no-preserve
gnu,cp,--no-target-directory
gnu,cp,--one-file-system
gnu,cp,-p
gnu,cp,-P
gnu,cp,--parents
gnu,cp,--preserve
gnu,cp,-r
gnu,cp,-R
gnu,cp,--recursive
gnu,cp,--reflink
gnu,cp,--remove-destination
gnu,cp,-s
gnu,cp,-S
gnu,cp,--sparse
gnu,cp,--strip-trailing-slashes
gnu,cp,--suffix
gnu,cp,--symbolic-link
gnu,cp,-t
gnu,cp,-T
gnu,cp,--target-directory
gnu,cp,-u
gnu,cp,--update
gnu,cp,-v
gnu,cp,--verbose
gnu,cp,--version
gnu,cp,-x
gnu,cp,-Z
gnu,csplit,-b
gnu,csplit,--digits
gnu,csplit,--elide-empty-files
gnu,csplit,-f
gnu,csplit,--help
gnu,csplit,-k
gnu,csplit,--keep-files
gnu,csplit,-n
gnu,csplit,--prefix
gnu,csplit,--quiet
gnu,csplit,-s
